id,year,unit,topic,question_text,question_image,table_headers,option_a,option_b,option_c,option_d,option_e,correct_answer,tagged
2023-23,2023,Electricity,Semiconductors and p-n Junctions,"A student makes the following statements about metals, insulators, and semiconductors.<br>[s]<br>I In some metals, the valence and conduction bands overlap and each band is partially filled.<br>II The band gap between the valence band and the conduction band in an insulator is large compared to the band gap in a semiconductor.<br>III An increase in temperature decreases the conductivity of a semiconductor.[/s]<br>Which of these statements is/are correct?",,,I only,II only,I and II only,I and III only,II and III only,C,1
2023-24,2023,Other,Skills,A group of students carry out an experiment to investigate how quantity P depends on quantity Q.<br>The results of the experiment are plotted on the graph shown.<br>[c]{{IMAGE}}[/c]A physics textbook states that quantity P is directly proportional to quantity Q.<br>The students make the following statements about the line of best fit that should be drawn using all the data points plotted.<br>[s]<br>I The line of best fit passes through the origin.<br>II The line of best fit does not pass through the origin.<br>III The line of best fit suggests the measurements have been affected by a systematic uncertainty.[/s]<br>Which of these statements is/are correct?,2023_Q24_Diagram.png,,I only,II only,III only,I and III only,II and III only,E,1
2023-25,2023,Other,Skills,The mass \( m \) of a vibrating string can be determined using the following relationship.<br>[c]$$ f = \sqrt{\frac{T}{4mL}} $$[/c]where<br>\( f \) is the fundamental frequency<br>\( T \) is the tension<br>\( L \) is the length of the string.<br><br>For a particular string the following measurements are recorded:<br><br>\( f \) = 110 Hz<br>\( T \) = 92 N<br>\( L \) = 0.63 m.<br><br>Based on this information the mass of this string is,,,3.0 × 10⁻³ kg,1.2 × 10⁻² kg,3.3 × 10⁻¹ kg,5.8 × 10⁻¹ kg,3.3 × 10² kg,A,1
2022-01,2022,Our Dynamic Universe,Motion: Equations & Graphs,A ball is thrown vertically upwards and falls back to its starting position. The acceleration-time graph represents the motion of the ball.<br><br>{{IMAGE}}<br><br>Which of the following velocity-time graphs represents the same motion?,2022_Q01_Diagram.png,,[IMG]2022_Q01_A.png,[IMG]2022_Q01_B.png,[IMG]2022_Q01_C.png,[IMG]2022_Q01_D.png,[IMG]2022_Q01_E.png,A,1
2022-02,2022,Our Dynamic Universe,Motion: Equations & Graphs,"A student uses the apparatus shown to determine the acceleration of a trolley as it moves down a ramp.<br><br>{{IMAGE}}<br><br>The trolley is released from rest at point P and moves down the ramp.<br>A card attached to the trolley passes through a light gate at point Q.<br>The time for the card to pass through the light gate is displayed on the electronic timer.<br>The vehicle’s acceleration \( a \) is determined using the relationship<br><br> [c]\( v^2 = u^2 + 2as \)[/c]<br>The student makes the following statements about the terms \( u, s, \) and \( v \):<br><br>[s]I \( u = 0 \) m s⁻¹<br>II \( s = \) the length of the card<br>III \( v = \frac{\text{length of card}}{\text{time displayed on timer}} \)[/s]<br>Which of these statements is/are correct?",2022_Q02_Diagram.png,,I only,II only,I and II only,I and III only,"I, II and III",A,1
2022-03,2022,Our Dynamic Universe,"Forces, Energy & Power",A spacecraft unloads cargo on the surface of the Moon. The gravitational field strength on the Moon is 1.6 N kg⁻¹.<br><br>{{IMAGE}}<br><br>A package of mass 3.0 kg moves down the ramp.<br><br>The component of the weight of the package acting parallel to the ramp is,2022_Q03_Diagram.png,,0.89 N,2.7 N,4.0 N,4.8 N,16 N,B,1
2022-04,2022,Our Dynamic Universe,"Forces, Energy & Power",Two blocks are suspended from a ceiling by ropes as shown.<br><br>{{IMAGE}}<br><br>Which row in the table shows the tension in the rope at point X and the tension in the rope at point Y?,2022_Q04_Diagram.png,Tension at X (N) | Tension at Y (N),27 | 15,120 | 29,120 | 150,260 | 29,260 | 150,E,1
2022-05,2022,Our Dynamic Universe,"Forces, Energy & Power",During an experiment a student inside a lift stands on a newton balance.<br><br>{{IMAGE}}<br><br>The mass of the student is 50.0 kg. The lift accelerates upwards at 1.2 m s⁻².<br><br>The reading on the newton balance is,2022_Q05_Diagram.png,,60 N,430 N,490 N,550 N,590 N,D,1
2022-06,2022,Our Dynamic Universe,"Forces, Energy & Power",Water flows at a rate of 1.0 × 10⁶ kg per second over the Victoria Falls. The Victoria Falls are 120 m high.<br><br>The total power delivered by the water in falling through 120 m is,,,1.2 × 10¹² W,1.2 × 10⁹ W,1.2 × 10⁸ W,8.5 × 10⁻¹⁰ W,8.5 × 10⁻¹¹ W,B,1
2022-07,2022,Our Dynamic Universe,Special Relativity,A spacecraft passes the Earth at a speed of 0.4 \( c \). A light on the spacecraft pulses on and off. A passenger on the spacecraft measures the time between the pulses as 2.5 s.<br><br>An observer on Earth measures the time between the pulses as,,,2.3 s,2.5 s,2.7 s,3.0 s,3.2 s,C,1
2022-08,2022,Our Dynamic Universe,The Expanding Universe,A student makes the following statements about the expanding Universe:<br><br>[s]I The evidence supporting the existence of dark matter comes from estimations of the mass of galaxies.<br>II The evidence supporting the existence of dark energy comes from the accelerating rate of expansion of the Universe.<br>III The peak wavelength of radiation emitted by hotter stars is longer than that for cooler stars.[/s]<br>Which of these statements is/are correct?,,,I only,II only,III only,I and II only,"I, II and III",D,1
2022-09,2022,Our Dynamic Universe,The Expanding Universe,A police car is travelling at a constant speed of 31.0 m s⁻¹ towards a stationary observer. The siren on the car emits a sound with a frequency of 820 Hz.<br><br>The speed of sound in air is 340 m s⁻¹.<br><br>The frequency of the sound heard by the observer is,,,745 Hz,751 Hz,820 Hz,895 Hz,902 Hz,E,1
2022-10,2022,Particles and Waves,Forces on Charged Particles,A proton enters a region of magnetic field as shown.<br><br>{{IMAGE}}<br>The direction of the force exerted by the magnetic field on the proton as it enters the field is,2022_Q10_Diagram.png,,out of the page,into the page,to the left,to the right,towards the bottom of the page,A,1
2022-11,2022,Particles and Waves,The Standard Model,The masses of three particles are shown.<br><br>[t]Particle|Mass (kg)<br>Electron|9.11 × 10⁻³¹ kg<br>Proton|1.673 × 10⁻²⁷ kg<br>Higgs boson|2.22 × 10⁻²⁵ kg[/t]<br>How many orders of magnitude greater is the mass of the Higgs boson than the mass of the electron?,,,4,5,6,10,31,B,1
2022-12,2022,Particles and Waves,The Standard Model,A proton consists of two up quarks and a down quark. A student makes the following statements about protons:<br><br>[s]I Protons are baryons.<br>II Protons are hadrons.<br>III Protons are fermions.[/s]<br>Which of these statements is/are correct?,,,I only,II only,III only,I and II only,"I, II and III",E,1
2022-13,2022,Particles and Waves,Nuclear Reactions,The following statement represents part of a radioactive decay series.<br><br>$$ ^{214}_{83}Bi \rightarrow X \rightarrow Y $$<br>Nucleus \( X \) undergoes alpha emission to produce nucleus \( Y \). Nucleus \( Y \) then undergoes beta emission.<br><br>Nucleus \( X \) is,,,\( ^{218}_{85}At \),\( ^{214}_{82}Pb \),\( ^{218}_{84}Po \),\( ^{218}_{86}Rn \),\( ^{210}_{80}Hg \),C,1
2022-14,2022,Particles and Waves,Nuclear Reactions,The following statement represents a nuclear reaction.<br><br>$$ ^{240}_{94}Pu \rightarrow ^{236}_{92}U + ^{4}_{2}He $$<br>The total mass of the particles before the reaction is 398.626 × 10⁻²⁷ kg.<br>The total mass of the particles after the reaction is 398.615 × 10⁻²⁷ kg.<br><br>The energy released in this reaction is,,,1.1 × 10⁻²⁹ J,3.3 × 10⁻²¹ J,5.0 × 10⁻¹³ J,9.9 × 10⁻¹³ J,3.6 × 10⁻⁸ J,D,1
2022-15,2022,Particles and Waves,Inverse Square Law,The irradiance of light incident on a surface from a point source is 20.0 W m⁻². The distance between the point source and the surface is 5.0 m.<br><br>The point source is now moved to a distance of 25.0 m from the surface.<br><br>The irradiance of the light incident on the surface is now,,,0.032 W m⁻²,0.80 W m⁻²,1.2 W m⁻²,4.0 W m⁻²,100 W m⁻²,B,1
2022-16,2022,Particles and Waves,Interference,Light from a laser is incident on a grating as shown.<br><br>{{IMAGE}}<br><br>A series of interference maxima are observed on the screen. A student makes the following statements about the interference pattern observed on the screen:<br><br>[s]I Increasing the distance between the grating and the screen increases the distance between the observed maxima.<br>II Increasing the distance between the laser and the grating increases the distance between the observed maxima.<br>III Decreasing the distance between the slits on the grating decreases the distance between the observed maxima.[/s]<br>Which of the statements is/are correct?,2022_Q16_Diagram.png,,I only,B only,I and III only,II and III only,"I, II and III",A,1
2022-17,2022,Particles and Waves,Refraction of Light,"Which row in the table shows what happens to the speed, frequency, and wavelength of red light as it passes from diamond into air?",,Speed | Frequency | Wavelength,decreases | decreases | no change,decreases | no change | decreases,decreases | increases | increases,increases | no change | increases,increases | increases | increases,D,1
2022-18,2022,Electricity,Monitoring and Measuring AC,The output from a signal generator is connected to an oscilloscope. The trace seen on the oscilloscope screen is shown.<br>{{IMAGE}}<br>The Y-gain setting on the oscilloscope is 2.0 V/div.<br>The time base setting on the oscilloscope is 5 ms/div.<br><br>Which row in the table gives the rms voltage and the frequency of the output from the signal generator?,2022_Q18_Diagram.png,rms voltage (V) | Frequency (Hz),4.2 | 25,4.2 | 40,6.0 | 40,6.0 | 200,8.5 | 25,B,1
2022-19,2022,Electricity,"P,V,I,R",Three resistors are connected to a 3.0 V power supply as shown.<br><br>{{IMAGE}}<br>The power supply has negligible internal resistance.<br><br>The power dissipated in the circuit is,2022_Q19_Diagram.png,,0.25 W,0.43 W,0.75 W,2.1 W,4.0 W,C,1
2022-20,2022,Electricity,"P,V,I,R","Six resistors, each of resistance 5 Ω, are connected to a 12 V power supply as shown.<br><br>{{IMAGE}}<br>The power supply has negligible internal resistance.<br><br>Which row in the table shows the total circuit resistance and the potential difference across X and Y?",2022_Q20_Diagram.png,Total circuit resistance (Ω) | Potential difference across X and Y (V),15 | 2,15 | 4,20 | 6,30 | 8,30 | 12,B,1
2022-21,2022,Electricity,Electrical Sources and Internal Resistance,A circuit is set up as shown.<br><br>{{IMAGE}}<br>The resistance of the variable resistor is set to 6.0 Ω.<br><br>The lost volts due to the internal resistance of the battery is,2022_Q21_Diagram.png,,1.2 V,4.8 V,6.0 V,7.2 V,8.0 V,B,1
2022-22,2022,Electricity,Capacitors,"A circuit is set up as shown.<br><br>{{IMAGE}}<br>The battery has negligible internal resistance.<br>The capacitor is initially uncharged.<br><br>The switch is now closed.<br><br>When the reading on the voltmeter is 7.0 V, the charge stored on the capacitor is",2022_Q22_Diagram.png,,3.1 × 10⁻⁵ C,4.4 × 10⁻⁵ C,1.1 × 10⁻³ C,1.5 × 10⁻³ C,2.6 × 10⁻³ C,C,1
2022-23,2022,Electricity,Capacitors,"A circuit is set up as shown.<br><br>{{IMAGE}}<br>The capacitor is initially uncharged. Switch S is closed.<br><br>Which graphs show how the potential difference \( V_R \) across resistor R, the potential difference \( V_C \) across capacitor C, and the current \( I \) in the circuit, vary with time \( t \) as the capacitor charges?",2022_Q23_Diagram.png,,[IMG]2022_Q23_A.png,[IMG]2022_Q23_B.png,[IMG]2022_Q23_C.png,[IMG]2022_Q23_D.png,[IMG]2022_Q23_E.png,E,1
2022-24,2022,Electricity,Semiconductors and p-n Junctions,Which row in the table describes the conduction band and the gap between the conduction band and the valence band in an insulator?,,Conduction band | Gap between conduction band and valence band,unfilled | bands overlap,full | bands overlap,unfilled | large gap,full | small gap,full | large gap,C,1
2022-25,2022,Other,Skills,"Astronomers use the following relationship to estimate the mass \( M \) of a galaxy<br>$$ M = \frac{v^2 r}{G} $$<br>where<br> \( v \) is the orbital speed of a star in the outer regions of the galaxy, in m s⁻¹<br>\( r \) is the orbital radius of the star, in m<br>\( G \) is the Universal Constant of Gravitation.<br><br>A star orbits at a radius of 4.0 × 10²⁰ m in the outer regions of the Triangulum galaxy. The orbital speed of the star is 120 km s⁻¹.<br><br>Based on this information, the mass of the Triangulum galaxy is",,,3.8 x 10²⁰ kg,7.2 x 10³² kg,8.6 x 10³⁴ kg,7.2 x 10³⁵ kg,8.6 x 10⁴⁰ kg,E,1
2021-01,2021,Our Dynamic Universe,Motion: Equations & Graphs,"A specially adapted ball has an electronic timer, which starts to time when the ball is released and stops timing when the ball strikes a surface.<br>[c]{{IMAGE}}[/c]<br>The ball is dropped from rest through a height \( h \) onto a hard surface.<br>The time recorded on the ball is \( 0.40 \ s \).<br>The effects of air resistance can be ignored.<br><br>The height \( h \) is",2021_Q01_Diagram.png,,0.20 m,0.78 m,1.56 m,1.96 m,3.92 m,B,1
2021-02,2021,Our Dynamic Universe,Motion: Equations & Graphs,The velocity-time \( (v \)-\(t) \) graph for an object travelling in a straight line is shown below.<br>[c]{{IMAGE}}[/c]<br>Which of the following is the corresponding acceleration-time \( (a \)-\(t) \) graph?,2021_Q02_Diagram.png,,[IMG]2021_Q02_A.png,[IMG]2021_Q02_B.png,[IMG]2021_Q02_C.png,[IMG]2021_Q02_D.png,[IMG]2021_Q02_E.png,E,1
2021-03,2021,Our Dynamic Universe,Motion: Equations & Graphs,The velocity-time \( (v \)-\( t) \) graph for an object travelling along a straight line is shown.<br>[c]{{IMAGE}}[/c]<br>Which row in the table shows the acceleration of the object during the 8.0 s and the displacement of the object at 8.0 s?,2021_Q03_Diagram.png,Acceleration (m s⁻²) | Displacement (m),-0.63 | 100,-0.63 | 140,-1.9 | 100,-1.9 | 120,-3.1 | 140,A,1
2021-04,2021,Our Dynamic Universe,"Forces, Energy & Power",A pulling force of 500 N is applied to a 60 kg block on a slope as shown.<br>[c]{{IMAGE}}[/c]<br>The maximum acceleration of the block is,2021_Q04_Diagram.png,,2.0 m s⁻²,5.4 m s⁻²,6.3 m s⁻²,7.5 m s⁻²,8.3 m s⁻²,A,1
2021-05,2021,Our Dynamic Universe,Motion: Equations & Graphs,"Two objects, P and Q, of the same mass are dropped from the same height.<br>The graph shows how the vertical velocities of the two objects vary with time for the first 40 s of their fall.<br>[c]{{IMAGE}}[/c]<br>A group of students make the following statements based on information from the graph.<br>[s]<br>I The terminal velocity of object P is \( 50 \ m \ s^{-1} \).<br>II Object Q reaches its terminal velocity at 10 s.<br>III At 40 s, both objects have fallen through the same distance.<br>[/s]<br>Which of these statements is/are correct?",2021_Q05_Diagram.png,,I only,I and II only,I and III only,II and III only,"I, II and III",A,1
2021-06,2021,Our Dynamic Universe,"Forces, Energy & Power",The total mass of a motorcycle and rider is 250 kg.<br>During braking they are brought to rest from a speed of 16.0 m s⁻¹ in a time of 10.0 s.<br><br>The maximum energy that could be converted to heat in the brakes is,,,2000 J,4000 J,32000 J,40000 J,64000 J,C,1
2021-07,2021,Our Dynamic Universe,"Collisions, Explosions & Impulse",A carpenter is building a doorframe using a nail gun. The nail gun of mass 5.0 kg fires a nail of mass 4.0 g.<br>The nail gun and nail are initially at rest.<br>The speed of the nail immediately after firing is 150 m s⁻¹.<br><br>The recoil speed of the nail gun immediately after firing is,,,0.005 m s⁻¹,0.05 m s⁻¹,0.12 m s⁻¹,1.2 m s⁻¹,120 m s⁻¹,C,1
2021-08,2021,Other,Skills,"The escape velocity \( v \) of an object is the minimum velocity required to allow the object to escape the gravitational field of a planet.<br>The following relationship is used to determine the escape velocity<br>$$ v = \sqrt{\frac{2GM}{r}} $$<br>where<br> \( G \) is the Universal Constant of Gravitation<br>\( M \) is the mass of the planet<br>\( r \) is the radius of the planet.<br><br>A planet has a mass of 4.87 x 10²⁴ kg and a radius of 6.05 x 10⁶ m.<br><br>Based on this information, the escape velocity from this planet is",,,1.66 × 10⁻²⁸ m s⁻¹,1.29 × 10⁻¹⁴ m s⁻¹,7.33 × 10³ m s⁻¹,1.04 × 10⁴ m s⁻¹,3.97 × 10⁹ m s⁻¹,D,1
2021-09,2021,Our Dynamic Universe,Special Relativity,A spacecraft is travelling at 6.0 x 10⁷ m s⁻¹ relative to a star.<br><br>An observer on the spacecraft measures the speed of light emitted by the star to be,,,2.4 × 10⁸ m s⁻¹,2.9 × 10⁸ m s⁻¹,3.0 × 10⁸ m s⁻¹,3.1 × 10⁸ m s⁻¹,3.6 × 10⁸ m s⁻¹,C,1
2021-10,2021,Our Dynamic Universe,Special Relativity,A spacecraft is travelling at a speed of 0.45\( c \) relative to Earth.<br>An observer on Earth measures the time taken for the spacecraft to travel between two points to be 72 hours.<br><br>An observer on the spacecraft measures the time taken to travel between these two points to be,,,53 hours,64 hours,72 hours,81 hours,90 hours,B,1
2021-11,2021,Our Dynamic Universe,The Expanding Universe,The redshift of light from a distant galaxy is 0.125.<br><br>The approximate distance to this distant galaxy is,,,3.75 × 10⁷ m,1.81 × 10⁸ m,5.43 × 10¹⁶ m,1.63 × 10²⁵ m,1.30 × 10²⁶ m,D,1
2021-12,2021,Our Dynamic Universe,The Expanding Universe,A student makes the following statements about the Universe.[s]<br>I Measurements of the velocities of galaxies and their distances from us lead to the theory of the origin of the expanding Universe.<br>II The mass of a galaxy can be estimated by the orbital speed of stars within it.<br>III Evidence supporting the existence of dark matter comes from the accelerating rate of expansion of the Universe.<br>[/s]<br>Which of these statements is/are correct?,,,I only,I and II only,I and III only,II and III only,"I, II and III",B,1
2021-13,2021,Particles and Waves,Forces on Charged Particles,Which of the following diagrams represents the electric field between a positive point charge and a negative point charge?,,,[IMG]2021_Q13_A.png,[IMG]2021_Q13_B.png,[IMG]2021_Q13_C.png,[IMG]2021_Q13_D.png,[IMG]2021_Q13_E.png,B,1
2021-14,2021,Particles and Waves,The Standard Model,The group of matter particles known as fermions consists of,,,baryons only,quarks only,leptons only,quarks and leptons only,baryons and mesons only,D,1
2021-15,2021,Particles and Waves,The Standard Model,A certain type of composite particle is made of two up quarks and a strange quark.<br><br>The charge on an up quark is \( +\frac{2}{3}e \).<br>The charge on a strange quark is \( -\frac{1}{3}e \).<br><br>Which of the following statements describes this particle?,,,The particle is a meson with a charge of +1e,The particle is a meson with a charge of -1e,The particle is a meson with no charge,The particle is a baryon with a charge of -1e,The particle is a baryon with a charge of +1e,E,1
2021-16,2021,Particles and Waves,Nuclear Reactions,"Two changes in a radioactive decay series are shown below.<br>[c]$$ {}_{90}^{231}\text{Th} \xrightarrow{\beta} {}_{Q}^{P}\text{Pa} \xrightarrow{\alpha} {}_{S}^{R}\text{Ac} $$[/c]A Thorium nucleus emits a beta particle and the product, a Protactinium nucleus, emits an alpha particle.<br><br>Which row in the table shows the numbers represented by P, Q, R, and S?",,P | Q | R | S,231 | 89 | 227 | 87,231 | 91 | 227 | 89,227 | 88 | 227 | 87,231 | 91 | 231 | 89,227 | 88 | 223 | 86,B,1
2021-17,2021,Particles and Waves,Wave-Particle Duality,An experiment to demonstrate the photoelectric effect is set up as shown.<br>[c]{{IMAGE}}[/c]Which row in the table shows the charge on the metal plate and the type of incident radiation most likely to cause photoelectric emission?,2021_Q17_Diagram.png,Charge on metal plate | Type of incident radiation,negative | green light,positive | ultraviolet,negative | infrared,positive | red light,negative | ultraviolet,E,1
2021-18,2021,Particles and Waves,Interference,"Two identical loudspeakers are connected to a signal generator as shown.<br>[c]{{IMAGE}}[/c]<br>A microphone detects a maximum of sound at position X.<br><br>The microphone is now moved from X to Y.<br><br>As the microphone is moved from X to Y, a series of maxima and minima of sound are detected.<br>The microphone detects the second minimum of sound at position Y.<br><br>The wavelength of sound emitted by the loudspeakers is",2021_Q18_Diagram.png,,0.17 m,0.24 m,0.30 m,0.40 m,0.60 m,D,1
2021-19,2021,Particles and Waves,Refraction of Light,A ray of red light passes from air into a transparent block as shown.<br>[c]{{IMAGE}}[/c]<br>The speed of this light in the block is,2021_Q19_Diagram.png,,1.39 x 10⁸ m s⁻¹,1.91 x 10⁸ m s⁻¹,2.62 x 10⁸ m s⁻¹,3.00 x 10⁸ m s⁻¹,4.73 x 10⁸ m s⁻¹,A,1
2021-20,2021,Particles and Waves,Refraction of Light,"The diagram shows the path of three rays of red light P, Q and R in glass.<br>The rays are incident at the glass-air boundary as shown.<br>[c]{{IMAGE}}[/c]<br>The refractive index of the glass for this light is 1.50.<br><br>Which of these rays pass from the glass into the air at this boundary?",2021_Q20_Diagram.png,,P only,R only,Q and R only,P and Q only,"P, Q and R",D,1
2021-21,2021,Electricity,"P,V,I,R",Four resistors are connected as shown.<br>[c]{{IMAGE}}[/c]<br>The total resistance between X and Y is,2021_Q21_Diagram.png,,1.0 Ω,8.9 Ω,9.1 Ω,11 Ω,20 Ω,D,1
2021-22,2021,Electricity,"P,V,I,R",A resistor of resistance 100 Ω is rated at 4 W.<br><br>The maximum voltage which can be applied across the resistor without exceeding its power rating is,,,0.04 V,5 V,20 V,25 V,400 V,C,1
2021-23,2021,Electricity,Capacitors,Capacitance is measured in farads.<br><br>One farad is equivalent to,,,one coulomb per volt,one joule per volt,one joule per coulomb,one volt per second,one joule per second,A,1
2021-24,2021,Electricity,Capacitors,A circuit containing a capacitor is set up as shown.<br>[c]{{IMAGE}}[/c]<br>The battery has negligible internal resistance.<br><br>The maximum charge stored by the capacitor is,2021_Q24_Diagram.png,,3.6 x 10⁻⁴ C, 2.4 x 10⁻⁴ C, 1.2 x 10⁻⁴ C, 3.3 x 10⁻⁶ C, 1.7 x 10⁻⁶ C,C,1
2021-25,2021,Electricity,Capacitors,"A circuit is set up as shown.<br>[c]{{IMAGE}}[/c]<br>Capacitor C is initially uncharged.<br><br>Switch S is closed and the time taken for the capacitor to fully charge is recorded.<br>The switch is now opened and the capacitor is discharged.<br><br>Resistor R is replaced by a resistor of greater resistance.<br>The switch is again closed and the capacitor charges.<br><br>Which row in the table shows the effect of this change, if any, on the time taken to fully charge the capacitor and the maximum energy stored in the capacitor?",2021_Q25_Diagram.png,Time taken to fully charge the capacitor | Maximum energy stored in the capacitor,increases | increases,decreases | decreases,decreases | stays the same,increases | stays the same,stays the same | decreases,D,1
